Ticker,Sector,Industry,Beta,ATR,Avg Volume,Price
AAP,Consumer Cyclical,Auto Parts,1.12,2.59,1.99M,47.04
ACHC,Healthcare,Medical Care Facilities,0.73,1.28,3.66M,22.73
ACMR,Technology,Semiconductor Equipment & Materials,1.61,3.61,1.47M,43.55
AEO,Consumer Cyclical,Apparel Retail,1.45,01.04,5.80M,17.22
AFRM,Financial,Credit Services,3.68,3.16,6.35M,43.81
AHR,Real Estate,REIT - Healthcare Facilities,01.01,1.45,2.70M,48.11
ALGM,Technology,Semiconductors,1.71,1.70,2.47M,29.95
ALK,Industrials,Airlines,1.25,2.53,3.81M,36.91
ALLY,Financial,Credit Services,1.15,1.36,3.70M,38.43
ALMS,Healthcare,Biotechnology,-1.17,1.67,2.93M,25.06
AMKR,Technology,Semiconductor Equipment & Materials,1.93,2.96,4.30M,45.81
AMPX,Industrials,Electrical Equipment & Parts,2.18,1.38,8.63M,18.20
AMTM,Industrials,Specialty Business Services,0.46,1.22,2.05M,26.80
APA,Energy,Oil & Gas E&P,0.59,1.40,6.89M,39.11
APG,Industrials,Engineering & Construction,1.69,1.47,2.42M,39.50
APLD,Technology,Information Technology Services,7.27,2.35,27.48M,25.93
AR,Energy,Oil & Gas E&P,0.43,1.56,6.00M,43.09
ARE,Real Estate,REIT - Office,1.32,1.92,2.45M,47.39
ARMK,Industrials,Specialty Business Services,01.08,1.10,2.93M,38.88
AROC,Energy,Oil & Gas Equipment & Services,0.89,1.13,1.55M,35.53
ARQT,Healthcare,Biotechnology,1.78,1.20,1.43M,22.21
AUB,Financial,Banks - Regional,0.83,1.16,1.05M,34.27
AXTA,Basic Materials,Specialty Chemicals,1.35,01.09,3.20M,25.44
BAC,Financial,Banks - Diversified,1.26,1.35,39.96M,47.16
BAM,Financial,Asset Management,1.42,1.53,3.30M,42.90
BBWI,Consumer Cyclical,Specialty Retail,1.46,1.13,5.30M,19.41
BEAM,Healthcare,Biotechnology,2.17,1.66,1.80M,24.63
BEPC,Utilities,Utilities - Renewable,1.23,1.54,1.05M,38.58
BETA,Industrials,Aerospace & Defense,-,1.67,1.16M,14.58
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,0.47,01.02,5.41M,22.80
BILL,Technology,Software - Application,1.30,2.30,2.82M,39.85
BL,Technology,Software - Application,0.88,1.86,1.17M,39.11
BMNR,Financial,Capital Markets,1.41,1.64,43.56M,20.94
BRBR,Consumer Defensive,Packaged Foods,0.69,01.09,3.93M,17.22
BRKR,Healthcare,Medical Devices,1.23,1.77,2.38M,33.35
BRZE,Technology,Software - Application,01.04,1.21,2.69M,18.33
BSY,Technology,Software - Application,1.14,1.30,3.00M,37.85
BTSG,Healthcare,Health Information Services,02.07,2.14,2.24M,41.21
BTU,Energy,Thermal Coal,0.56,2.18,2.97M,37.31
BW,Industrials,Specialty Industrial Machinery,1.13,1.56,3.90M,15.18
BWIN,Financial,Insurance Brokers,1.32,1.23,1.55M,21.64
CAI,Healthcare,Biotechnology,-,1.17,2.33M,18.41
CARG,Consumer Cyclical,Auto & Truck Dealerships,1.34,1.43,1.19M,33.60
CART,Consumer Cyclical,Internet Retail,0.96,1.60,5.10M,36.93
CBSH,Financial,Banks - Regional,0.62,1.19,1.27M,47.68
CC,Basic Materials,Specialty Chemicals,1.51,1.28,3.34M,17.70
CCL,Consumer Cyclical,Travel Services,2.50,1.40,22.14M,24.12
CDE,Basic Materials,Gold,1.32,1.61,24.06M,17.67
CELH,Consumer Defensive,Beverages - Non-Alcoholic,01.04,2.40,4.86M,41.51
CENX,Basic Materials,Aluminum,2.11,3.89,2.33M,48.97
CG,Financial,Asset Management,02.06,2.22,3.04M,47.13
CGNX,Technology,Scientific & Technical Instruments,1.47,02.04,2.11M,49.24
CHWY,Consumer Cyclical,Internet Retail,1.67,1.13,7.67M,23.37
CHYM,Technology,Software - Application,-,1.43,3.73M,19.15
CIFR,Technology,Information Technology Services,2.99,1.34,28.05M,14.01
CLMT,Basic Materials,Specialty Chemicals,01.01,1.39,1.28M,28.04
CMG,Consumer Cyclical,Restaurants,01.05,1.27,16.89M,33.37
CNC,Healthcare,Healthcare Plans,0.54,1.74,6.20M,34.40
CNK,Communication Services,Entertainment,1.14,01.01,2.59M,26.43
CNM,Industrials,Industrial Distribution,01.02,1.69,2.06M,47.40
CNX,Energy,Oil & Gas E&P,0.63,1.62,2.27M,40.48
COGT,Healthcare,Biotechnology,0.52,1.94,1.98M,33.38
CORT,Healthcare,Biotechnology,0.34,1.88,2.24M,34.64
CORZ,Technology,Software - Infrastructure,6.40,01.06,11.01M,15.81
CPRT,Industrials,Specialty Business Services,1.15,1.10,9.19M,32.86
CRBG,Financial,Asset Management,1.18,01.05,3.86M,23.18
CRK,Energy,Oil & Gas E&P,0.39,1.15,2.44M,21.69
CRNX,Healthcare,Biotechnology,0.30,1.84,1.19M,35.57
CSGP,Real Estate,Real Estate Services,0.90,02.08,6.53M,42.90
CTRE,Real Estate,REIT - Healthcare Facilities,0.76,1.16,1.81M,36.10
CTRI,Utilities,Utilities - Regulated Gas,0.64,1.32,1.36M,29.12
CUBE,Real Estate,REIT - Industrial,1.12,01.07,2.42M,36.69
CVI,Energy,Oil & Gas Refining & Marketing,01.01,1.68,1.41M,33.82
CWEN,Utilities,Utilities - Renewable,0.92,1.16,1.02M,37.44
CZR,Consumer Cyclical,Resorts & Casinos,1.89,1.38,6.18M,26.76
DAN,Consumer Cyclical,Auto Parts,02.08,1.26,1.56M,31.41
DD,Basic Materials,Specialty Chemicals,1.10,1.50,4.62M,42.44
DK,Energy,Oil & Gas Refining & Marketing,0.70,2.26,1.51M,44.24
DKNG,Consumer Cyclical,Gambling,1.62,1.19,14.71M,23.67
DNLI,Healthcare,Biotechnology,01.09,1.10,1.56M,20.17
DOCS,Healthcare,Health Information Services,1.40,1.22,3.43M,24.41
DOCU,Technology,Software - Application,01.01,2.52,4.57M,47.23
DOW,Basic Materials,Chemicals,0.60,1.57,13.38M,36.65
DRS,Industrials,Aerospace & Defense,0.43,1.84,1.21M,43.82
DT,Technology,Software - Application,0.78,1.52,6.30M,38.05
DVN,Energy,Oil & Gas E&P,0.54,1.36,12.00M,48.66
DYN,Healthcare,Biotechnology,1.32,1.26,2.14M,17.56
ELAN,Healthcare,Drug Manufacturers - Specialty & Generic,1.87,1.00,4.82M,23.98
ENPH,Technology,Solar,1.32,2.80,6.68M,44.11
EQH,Financial,Asset Management,1.11,1.52,2.95M,37.35
EQPT,Industrials,Rental & Leasing Services,-,2.29,1.70M,21.80
ERAS,Healthcare,Biotechnology,1.11,01.02,5.96M,14.60
ESI,Basic Materials,Specialty Chemicals,1.27,1.45,2.61M,31.04
EWTX,Healthcare,Biotechnology,0.27,1.61,1.12M,29.06
EXC,Utilities,Utilities - Regulated Electric,0.41,01.03,8.40M,46.44
EXEL,Healthcare,Biotechnology,0.44,1.23,2.74M,41.27
EXLS,Technology,Information Technology Services,0.90,1.26,1.98M,30.92
EYE,Consumer Cyclical,Specialty Retail,1.37,1.53,1.20M,26.57
FAST,Industrials,Industrial Distribution,0.87,1.15,8.22M,43.76
FBIN,Industrials,Building Products & Equipment,1.45,2.25,2.64M,38.68
FIBK,Financial,Banks - Regional,0.77,01.06,1.07M,32.48
FIG,Technology,Software - Application,-,02.02,13.10M,23.73
FIGR,Financial,Capital Markets,-,3.64,5.37M,34.29
FIS,Technology,Information Technology Services,0.90,1.65,4.68M,49.79
FITB,Financial,Banks - Regional,1.00,1.42,11.73M,44.19
FLNC,Utilities,Utilities - Renewable,2.92,1.40,5.34M,15.13
FLR,Industrials,Engineering & Construction,1.30,2.17,2.84M,44.92
FLY,Industrials,Aerospace & Defense,-,2.31,3.52M,23.22
FNF,Financial,Insurance - Specialty,01.05,1.53,1.68M,43.26
FOUR,Technology,Software - Infrastructure,1.63,2.68,2.31M,41.17
FPS,Industrials,Electrical Equipment & Parts,-,3.13,4.01M,33.45
FROG,Technology,Software - Application,1.20,2.85,3.00M,42.27
FSLY,Technology,Software - Application,0.73,1.97,10.27M,25.20
GAP,Consumer Cyclical,Apparel Retail,2.26,1.12,7.81M,23.91
GBCI,Financial,Banks - Regional,0.75,1.50,1.04M,43.34
GFS,Technology,Semiconductors,1.48,2.26,3.97M,43.08
GIS,Consumer Defensive,Packaged Foods,-0.02,1.15,8.26M,37.01
GLXY,Financial,Capital Markets,3.61,1.77,6.33M,20.72
GPCR,Healthcare,Biotechnology,-1.42,3.92,1.04M,48.59
GPGI,Industrials,Metal Fabrication,1.12,1.19,2.91M,17.06
GTLB,Technology,Software - Infrastructure,0.83,1.44,5.83M,22.25
GXO,Industrials,Integrated Freight & Logistics,1.74,2.14,1.28M,49.93
HAL,Energy,Oil & Gas Equipment & Services,0.73,1.23,14.08M,36.53
HIMS,Healthcare,Drug Manufacturers - Specialty & Generic,2.28,2.21,32.60M,22.02
HL,Basic Materials,Other Precious Metals & Mining,1.40,1.63,24.28M,17.24
HNGE,Healthcare,Health Information Services,-,1.89,1.25M,42.48
HP,Energy,Oil & Gas Drilling,0.55,1.45,1.65M,36.48
HRB,Consumer Cyclical,Personal Services,0.35,1.40,2.34M,31.79
HTFL,Healthcare,Health Information Services,-,02.02,1.40M,26.02
HUT,Financial,Capital Markets,4.21,4.39,5.08M,47.46
HYMC,Basic Materials,Gold,2.94,5.00,5.45M,30.00
IAC,Communication Services,Internet Content & Information,1.10,1.23,1.06M,37.59
IMNM,Healthcare,Biotechnology,2.18,1.19,1.54M,20.01
IMVT,Healthcare,Biotechnology,0.69,1.20,1.33M,22.98
INDV,Healthcare,Drug Manufacturers - Specialty & Generic,1.21,1.67,2.30M,29.30
INTA,Technology,Software - Application,0.66,1.68,1.26M,25.73
INTC,Technology,Semiconductors,1.34,2.64,101.91M,43.87
IONQ,Technology,Computer Hardware,2.77,2.46,21.08M,31.20
IOT,Technology,Software - Infrastructure,1.49,1.72,8.32M,33.13
IP,Consumer Cyclical,Packaging & Containers,1.13,1.77,6.57M,33.76
IRDM,Communication Services,Telecom Services,0.53,1.21,2.12M,25.40
JEF,Financial,Capital Markets,1.56,2.29,2.82M,38.13
KBR,Industrials,Engineering & Construction,0.49,1.26,1.40M,37.29
KMT,Industrials,Tools & Accessories,1.49,1.77,1.47M,34.12
KMX,Consumer Cyclical,Auto & Truck Dealerships,1.30,1.86,3.39M,41.86
KNTK,Energy,Oil & Gas Midstream,0.70,1.67,1.32M,45.88
KRC,Real Estate,REIT - Office,1.10,1.10,2.02M,28.21
KVYO,Technology,Software - Application,01.02,1.25,4.19M,18.58
LAUR,Consumer Defensive,Education & Training Services,0.59,1.14,1.22M,33.29
LAZ,Financial,Capital Markets,1.43,2.30,1.22M,39.25
LBRDK,Communication Services,Telecom Services,0.98,1.96,1.26M,49.48
LBRT,Energy,Oil & Gas Equipment & Services,0.45,1.49,4.19M,31.45
LGN,Industrials,Engineering & Construction,-,3.20,1.03M,48.83
LIF,Technology,Software - Application,4.10,3.00,1.13M,39.83
